Code;Text
s0;Indítási hang.
1;Várakozás a hálózati konfigurációra.
2;Nem sikerült csatlakozni a Wi-Fi hálózathoz. Kérem, ellenőrizze a Wi-Fi jelszavát és próbálja meg újra.
3;Nem sikerült csatlakozni a szerverhez. Kérem, ellenőrizze a helyi hálózatot és próbálja meg újra.
4;A robot kilépett a hálózati konfigurációs módból.
5;Hálózat sikeresen csatlakoztatva.
6;A hálózati kapcsolódás sikertelen. Kérem, próbálja meg újra.
7;Takarítás elkezdése.
8;Pozíció takarítás elkezdése.
9;Ütemezett takarítás elkezdése.
10;Folytatom a takarítást.
11;Szüneteltetve.
12;Takarítási feladat befejezve.
13;Visszatérés a dokkolóhoz töltés céljából.
14;Alacsony akkumulátor. Visszatérés a dokkolóhoz töltés céljából. A töltés után folytatom a munkát.
15;Visszatérek oda, ahol elkezdtem.
16;Alacsony akkumulátor. Visszatérek oda, ahol elkezdtem. Kérem, töltsön fel engem.
17;Kérem, helyezze a robotot a dokkolóra töltés céljából.
18;Töltés.
19;Kérem, mozgassa el a robotot a dokkolóról, mielőtt kikapcsolja.
20;Alacsony akkumulátor.
21;Alacsony akkumulátor. A robot kikapcsol.
22;Kérem, helyezze a robotot egy takarítandó területre.
23;Víztartály telepítve.
24;Kérem, ellenőrizze, hogy a víztartály megfelelően van-e telepítve.
25;Alacsony akkumulátor. Nem tudom elvégezni az ütemezett takarítást.
26;Gyári beállítások visszaállítása.
27;Frissítés. Körülbelül öt percig tart. Ne kapcsolja ki, és ne kezdjen takarítási feladatot.
28;Sikeresen frissítve.
29;A frissítés nem sikerült, kérem, próbálja meg újra.
30;Pozicionálás, kérem, várjon.
31;A pozicionálás sikertelen. A térkép érvénytelen. A robot új takarítást kezd.
32;Érzékeltem a környezet változásait. Kérem, nyomja meg a gombot és kezdjen új takarítási feladatot.
33;Vizuális navigációs szenzor hiba. Kérem, tisztítsa meg, és indítsa újra.
34;Porzsák nincs telepítve. Kérem, telepítse.
35;Főkefe hiba. Kérem, ellenőrizze és tisztítsa meg.
36;Oldalkefe hiba. Kérem, ellenőrizze és tisztítsa meg.
37;Jobb kerék hiba. Kérem, ellenőrizze és tisztítsa meg.
38;Bal kerék hiba. Kérem, ellenőrizze és tisztítsa meg.
39;Kérem, tisztítsa meg az esésérzékelőt.
